ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source
9180,small_islands,5,-16.1,,,"1384[4, 24];2"
9181,small_islands,6,167.5,,,1384[30];2
6307,wogeo,19,2,19-2,,15[109]
6308,wogeo,20,0,20-0,,14[Map 2.21]
11619,cheke-holo,90,1,90-1,,1520
3757,bontok,29,3,29-3,,646[85-86]
5946,dobuans,16,1,16-1,,"1035[61, 226]"
5955,dobuans,24,2,24-2,,1033[70]
6279,mentawai,90,1,90-1,,1085
9490,roti,34,1,34-1,,1405[346]
6004,dobuans,74,2,74-2,,1037[9];1030[51]
7654,mangareva,34,1,34-1,,1269[423]
4614,fijians,27,1,27-1,,1783[370];805[149-150]
5976,dobuans,44,1,44-1,,1035[89-90]
5998,dobuans,68,0,68-0,,1033[273-279]
1365,manggarai,7,3,7-3,,292[438]
6403,ifugao,24,1,24-1,,1114[397]
3723,iban,83,0,83-0,,"855[128, 191];645"
3718,iban,78,2,78-2,,855[26]
3717,iban,77,1,77-1,,842[97]
6691,nendo,94,1,94-1,,1202[290]
6005,dobuans,75,2,75-2,,1041[33]
9512,roti,42,1,42-1,,1405[347]
1911,manggarai,91,2,91-2,,289[277-278];366[68]
17083,bunun,143,1,143-1,,1581[56]
6007,dobuans,77,1,77-1,,1041[33];1037[9]
2102,kwaio,87,1,87-1,,388[24-26];395[S125]
10121,mangaia,63,3,63-3,,1419[112-125]
1366,manggarai,8,13500,,,292[438]
1883,manggarai,63,3,63-3,,320[41-52]
11881,ami,3,0,,,562[116]
11882,ami,4,306.7,,,"560[44, 182];123"
5136,kedang,23,4,23-4,,343[16]
10270,futuna-west,28,2,28-2,,1455[197-198]
623,trobriand-islands,80,1,80-1,,943[24]
6000,dobuans,70,0,70-0,,1030[49-50];1037[4-5]
4400,tanimbar,37,3,37-3,,838[114];735[84-93]
1751,manggarai,34,1,34-1,,"320[80-81, 154]"
6406,ifugao,27,1,27-1,,"1114[391-392, 397]"
4410,tanimbar,47,2,47-2,,735[38-62];730[87-89]
17081,dusun,143,0,143-0,,1527[81]
6864,moriori,78,2,78-2,,1214[266]
1912,manggarai,92,1,92-1,,
3839,nendo,26,1,26-1,,1202[290];668[58-60]
7349,toabaita,95,0,95-0,,1248[102-121]
6294,wogeo,6,144.1,,,1093[6-7];2
6292,wogeo,4,852,,,123
6295,wogeo,7,2,7-2,,1104[16]
6296,wogeo,8,33.3,,,394
6297,wogeo,9,610,,,1096[5]
6863,moriori,31,2,31-2,,1209[85]
6866,moriori,80,1,80-1,,1213[17-19]
10268,futuna-west,26,1,26-1,,1454[29]
10269,futuna-west,27,1,27-1,,1454[29]
7362,toabaita,45,1,45-1,,1248[107]
9515,roti,45,2,45-2,,1405[358-363]
11889,ami,2,1,2-1,,562[116]
7518,minahasa,46,1,46-1,,1254[35-38]
2632,merina,34,1,34-1,,1819[392]
6692,nendo,23,4,23-4,,1202[290];668[54-55]
7351,toabaita,38,2,38-2,,1248[110-111]
8956,kapingamarangi,16,4,16-4,,1369[12-63]
3837,nendo,24,1,24-1,,668[54-63]
3195,biak,36,1,36-1,,590[14-16]
7364,toabaita,2,1,2-1,,1248[17]
10101,tetum,5,-9.3,,,1435[14];2
7680,mangareva,59,2,59-2,,1269[150]
6335,wogeo,47,0,47-0,,1093
11200,besemah,5,-4.1,,,1511[iv];2
7367,toabaita,7,2,7-2,,385
7368,toabaita,8,4200,,,1105[214]
7369,toabaita,9,1438,,,385
11884,ami,19,2,19-2,,15[109]
11885,ami,20,1,20-1,,14[2.21]
11886,ami,21,1,21-1,,14[2.23]
11887,ami,94,1,94-1,,
11883,ami,17,1,17-1,,562[117]
1738,kedang,87,0,87-0,,343[10]
10092,tetum,26,1,26-1,,1442[99];1435[53]
17082,landdayak,143,1,143-1,,1491[102];167[195]
18773,alune,47,0,47-0,,1805[106-107]
593,trobriand-islands,36,1,36-1,,129[72-78]
3838,nendo,25,1,25-1,,1202[290];668[58-60]
1725,kedang,74,2,74-2,,343[9];745[132]
11893,ami,8,32260,,,376[300]
9523,tanala,74,2,74-2,,"1476[85, 88-89]"
11894,ami,9,3952,,,376[300]
11892,ami,7,4,7-4,,561
2051,kwaio,55,1,55-1,,388[46-47]
3842,nendo,29,2,29-2,,"1202[290];668[58, 64]"
11890,ami,5,23.4,,,562[117];2
11891,ami,6,121.4,,,562[117];2
6713,rapa-nui,3,2076.3,,,123;1730
6714,rapa-nui,4,3515,,,123
6360,wogeo,74,2,74-2,,1104[50];1097[11]
6338,wogeo,50,1,50-1,,1097[25]
6865,moriori,79,1,79-1,,1213[15]
4403,tanimbar,40,2,40-2,,"735[38-45, 63, 73-74];730[90]"
10232,futuna-west,65,0,65-0,,1454[21-22];1455[192-194]
10231,futuna-west,64,0,64-0,,1454[21-22];1455[192-194]
120,moken,38,3,38-3,,31
2054,kwaio,58,3,58-3,,"388[10, 46-49]"
6330,wogeo,42,1,42-1,,1095[330];1093[142]
6716,rapa-nui,19,0,19-0,,15[109]
6717,rapa-nui,20,0,20-0,,14[Map 2.21]
6718,rapa-nui,21,0,21-0,,14[Map 2.23]
4535,palawan-batak,45,1,45-1,,"303[6, 7-8]"
9482,roti,95,0,95-0,,"1405[342-368, 346]"
10834,landdayak,69,3,69-3,,167[195]
19739,kodi,141,3,141-3,,885[14]
6356,wogeo,70,1,70-1,,1097[4-6]
6407,ifugao,28,2,28-2,,1114[396-397]
6374,wogeo,90,1,90-1,,1104[18]
6371,wogeo,87,0,87-0,,27[49-52]
6747,rapa-nui,81,3,81-3,,1204[55]
6363,wogeo,77,2,77-2,,1104[48];1097[10]
6364,wogeo,78,2,78-2,,1104[48]
2034,kwaio,28,1,28-1,,388[14]
6404,ifugao,25,1,25-1,,"1114[398, 421]"
14791,manihiki-rakahanga,7,1,7-1,,1604[4]
7691,mangareva,10,1500,,,1269[11]
7692,mangareva,11,2,11-2,,"1770[26, 27]"
6365,wogeo,81,3,81-3,,1104[18]
17963,marovo,59,2,59-2,,1752[86-88]
4422,tanimbar,72,2,72-2,,1764
2089,kwaio,74,2,74-2,,388[28-29]
7508,minahasa,37,1,37-1,,1254[35-38]
2035,kwaio,29,1,29-1,,388[14]
3785,bontok,59,3,59-3,,"646[167-171, 196-215]"
2031,kwaio,25,2,25-2,,"388[14, 9-82]"
2038,kwaio,30,1,30-1,,388[14]
2106,kwaio,91,1,91-1,,400[303-304]
572,trobriand-islands,26,1,26-1,,136[27]
2045,kwaio,49,1,49-1,,"388[19-20, 146-147]"
17965,marovo,61,1,61-1,,1752[89-91]
2107,kwaio,92,1,92-1,,400[303-304]
17966,marovo,62,1,62-1,,891[386]
10235,futuna-west,68,0,68-0,,"1454[5-19, 210-22]"
573,trobriand-islands,27,1,27-1,,136[27]
6317,wogeo,30,2,30-2,,1095[311];1093[16]
12193,manam,105,3,105-3,,48[168]
12194,manam,106,2,106-2,,48[168]
2090,kwaio,75,2,75-2,,396[20-22];388[24]
9524,tanala,72,1,72-1,,
2099,kwaio,84,3,84-3,,388[234]
6358,wogeo,72,2,72-2,,1104[53]
2073,kwaio,46,1,46-1,,388[40-42]
14789,manihiki-rakahanga,5,-10.4,,,1604[4];394
14790,manihiki-rakahanga,6,-161,,,1604[4];394;2
11900,ami,106,3,106-3,,562[119]
11899,ami,105,1,105-1,,562[119]
3801,bontok,73,3,73-3,,1109[6-]
21142,kei,79,1,79-1,,1879
6375,wogeo,91,2,91-2,,1104[18-19]
6334,wogeo,46,0,46-0,,1093[27]
6332,wogeo,44,0,44-0,,1093[55]
6333,wogeo,45,1,45-1,,1093[55]
6378,wogeo,94,1,94-1,,1624[380]
6309,wogeo,21,0,21-0,,14[Map 2.23]
2542,rarotonga,37,1,37-1,,
6313,wogeo,26,1,26-1,,1093[16];1095[310-311]
6339,wogeo,51,1,51-1,,1095[333]
6337,wogeo,49,0,49-0,,1093[82-99];1097[39]
3777,bontok,40,2,40-2,,646[201-204]
9426,tokelau,78,0,78-0,,1434
10267,futuna-west,25,2,25-2,,1454[29]
6357,wogeo,71,0,71-0,,1104[36-53]
5529,trobriand-islands,90,1,90-1,,952[33]
565,trobriand-islands,19,2,19-2,,15[109]
20011,uvea,81,3,81-3,,1861[4]
585,trobriand-islands,40,0,40-0,,129[72-78]
6321,wogeo,34,1,34-1,,1097[45-46]
6352,wogeo,66,2,66-2,,1093[103]
9545,roti,56,1,56-1,,234[261]
6314,wogeo,27,1,27-1,,1093[16];1095[310-311]
6310,wogeo,23,4,23-4,,1093[15]
6318,wogeo,31,1,31-1,,1100
566,trobriand-islands,20,0,20-0,,14[Map 2.21]
567,trobriand-islands,21,0,21-0,,14[Map 2.23]
3226,biak,72,2,72-2,,"598[316, 318-319]"
6361,wogeo,75,1,75-1,,1104[35-36]
6382,wogeo,80,0,80-0,,1104[1]
6383,wogeo,79,0,79-0,,1104[1]
5483,trobriand-islands,23,4,23-4,,136[27]
3759,bontok,31,3,31-3,,"646[136-137, 154-156]"
550,trobriand-islands,5,-8.5,,,145[10];2
3979,nendo,73,3,73-3,,682[138-139];296
549,trobriand-islands,4,929,,,145[10];123
597,trobriand-islands,51,1,51-1,,129[49-80]
5149,savu,23,3,23-3,,"674[23-24, 29-30];676[78]"
3899,savu,24,4,24-4,,674[23-24];676[78]
587,trobriand-islands,42,1,42-1,,934
12766,south_pentecost,105,3,105-3,,1347[263]
6513,palau,83,1,83-1,,"1133[68-70, 73-75, 87-93];1125[70-71]"
592,trobriand-islands,47,0,47-0,,935[36-59]
3981,nendo,75,2,75-2,,686[3]
3984,nendo,78,2,78-2,,683[393];685[102]
618,trobriand-islands,74,2,74-2,,952[113]
5530,trobriand-islands,91,1,91-1,,953[53]
3755,bontok,27,2,27-2,,646[81-83]
6805,moriori,5,-43.8,,,"1210[17, 35];2"
3903,savu,28,2,28-2,,674[28];677[152]
3986,nendo,80,1,80-1,,679[5]
3227,biak,73,3,73-3,,598[319]
6707,rapa-nui,2,1,2-1,,1203[8]
1658,chuuk,92,3,92-3,,"342[62-64, 72]"
6903,lau,47,0,47-0,,1222[98]
12767,south_pentecost,106,2,106-2,,1347[263]
3900,savu,25,3,25-3,,"676[78];674[35-38, 41-46]"
6709,rapa-nui,6,-109.4,,,1203[8];2
624,trobriand-islands,81,3,81-3,,952[33]
621,trobriand-islands,77,2,77-2,,144[17];952[165]
3933,savu,66,1,66-1,,674[121];676[80]
3935,savu,68,0,68-0,,676[80]
14792,manihiki-rakahanga,8,5.4,,,1604[4];1605[14]
6871,moriori,39,2,39-2,,"1208[18-25, 191-206]"
6867,moriori,36,2,36-2,,1210[33]
14793,manihiki-rakahanga,9,3,,,1605[14]
12179,kayan,106,2,106-2,,"970[15, 17]"
12202,mekeo,106,1,106-1,,1415[11]
10537,gaddang-pagan,9,2930,,,614
11447,dusun,46,2,46-2,,1518[16]
17100,futuna-west,143,0,143-0,,1726
5125,bontok,23,4,23-4,,646[88-89]
3754,bontok,26,2,26-2,,646[84-85]
9828,erromango,38,0,38-0,,1437[389-404];348[165-167]
6839,moriori,82,2,82-2,,1210[73]
6413,ifugao,34,1,34-1,,1791[247-248]
744,eastern-sumbanese,16,1,16-1,,1294[7-8]
7348,toabaita,36,0,36-0,,1248[102-121]
9540,roti,87,0,87-0,,1408
1955,puyuma,37,3,37-3,,373[125]
5263,eastern-sumbanese,95,1,95-1,,1294[73-132]
32,manam,59,1,59-1,,"48[168, 169]"
5979,dobuans,47,0,47-0,,1035[77-94];1033[94-102]
3197,biak,38,2,38-2,,590[15-16]
4143,lakalai,47,0,47-0,,"698[162-197, 165, 183]"
4134,lakalai,38,2,38-2,,698[184-188]
3802,bontok,74,2,74-2,,652[186-187]
6327,wogeo,39,0,39-0,,1093[27-28]
3798,bontok,70,1,70-1,,651[5];652[186-187]
10309,futuna-west,77,1,77-1,,1490[122]
6806,moriori,6,-176.5,,,"1210[17, 35];2"
758,eastern-sumbanese,31,2,31-2,,1294[14-17]
6905,lau,34,1,34-1,,1220[167]
9206,small_islands,79,0,79-0,,
5475,tonga,55,1,55-1,,23
6137,paiwan,36,1,36-1,,1003[134-136];1060[199];1267[44-45]
8470,karo,23,4,23-4,,687[32]
6900,lau,39,2,39-2,,1220[140-148]
19321,eastern-sumbanese,143,1,143-1,,1294[16]
9697,mekeo,73,3,73-3,,"1415[27, 57]"
10311,futuna-west,79,0,79-0,,100[180]
10312,futuna-west,80,1,80-1,,1490[122]
9543,roti,54,0,54-0,,234[261]
9544,roti,55,1,55-1,,234[261]
20023,uvea,69,3,69-3,,1861[4]
20024,uvea,70,0,70-0,,1861[3-4]
9314,tokelau,42,1,42-1,,1398[59]
9550,roti,73,3,73-3,,1409[212]
9551,roti,74,2,74-2,,1409[212]
10240,tetum,87,0,87-0,,
1502,iban,3,0,,,1737[15]
1819,iban,29,3,29-3,,"842[97];316[54-56, 87]"
1820,iban,30,3,30-3,,842[97];316[54-56]
3707,iban,72,2,72-2,,855[26];1764
3691,bontok,7,2,7-2,,1851[732-733]
20030,uvea,77,2,77-2,,1861[4]
1174,nias,26,0,26-0,,1566[51]
9215,laboya,2,1,2-1,,"1329[1, Map 2]"
10304,futuna-west,72,2,72-2,,1490[123]
20031,uvea,5,-13.3,,,1861[8];2
5046,tonga,37,2,37-2,,"850[25-50, 69-95]"
1175,nias,27,2,27-2,,243[132-135];1566[51]
20032,uvea,6,-176.2,,,1861[8];2
5469,tonga,95,1,95-1,,850[69-76]
9216,laboya,5,-9.7,,,1329[Map 2: West Sumba];2
20033,uvea,2,1,2-1,,1861[8-10]
9217,laboya,6,119.4,,,1329[Map 2: West Sumba];2
9219,laboya,8,11153,,,170
9220,laboya,9,1220,,,170
5105,tonga,64,2,64-2,,850[128]
6514,palau,84,1,84-1,,1133[70]
2060,marquesas,1,1797,,,945;405[188-189];392[xi-xiv]
12715,tanala,105,3,105-3,,1397[132-146]
5049,tonga,42,1,42-1,,850[72-73]
12716,tanala,106,2,106-2,,1397[132-146]
2083,marquesas,9,1200,,,1810[48-49]
10310,futuna-west,78,0,78-0,,1490[122]
8686,south_pentecost,7,2,7-2,,1346
7194,sama-dilaut,7,2,7-2,,1239
6243,mentawai,51,1,51-1,,243[164]
20034,uvea,7,2,7-2,,1861[8]
20035,uvea,8,59.6,,,1861[8]
20036,uvea,9,150,,,1861[8]
5474,tonga,54,1,54-1,,23
16564,chuuk,141,1,141-1,,1148[352]
9293,tanala,36,1,36-1,,1397[164-165]
8687,south_pentecost,8,438,,,1346
7195,sama-dilaut,8,620,,,394
9653,mekeo,10,4000,,,1404[28];1820[45-46]
5101,tonga,49,1,49-1,,850[102]
5109,tonga,67,2,67-2,,850[127-128]
5091,tonga,77,2,77-2,,846[55-63]
5369,nias,94,1,94-1,,240[3-4]
9841,erromango,51,0,51-0,,348[150-177]
2081,marquesas,7,2,7-2,,1810[48-49];1840
9840,erromango,50,1,50-1,,348[174]
9508,roti,62,1,62-1,,1405
5102,tonga,50,1,50-1,,850[102]
5096,tonga,84,1,84-1,,846[206]
5480,tonga,78,2,78-2,,"846[65, 68]"
12526,maori,105,3,105-3,,1156[177]
5084,tonga,69,2,69-2,,846[31]
1226,nias,81,3,81-3,,239[196]
6494,palau,64,2,64-2,,1129[2-3];1139[246-247]
6495,palau,65,0,65-0,,1129[1-7]
6496,palau,66,1,66-1,,1129[2]
6497,palau,67,0,67-0,,1129[5]
20012,uvea,82,2,82-2,,1861[3-4]
10960,ata-tana-aai,15,4,15-4,,1588[25]
5550,marquesas,75,2,75-2,,
6498,palau,68,0,68-0,,1129[1-7]
17111,chamorro,143,0,143-0,,624[38]
10339,Pohnpei,39,1,39-1,,1465[4-6];1276[70-103]
6457,palau,26,2,26-2,,"1129[22, 37-38];1125[28]"
6503,palau,73,3,73-3,,1125[73];1143
3696,marquesas,47,1,47-1,,945[244-245]
9559,roti,90,1,90-1,,1411[460]
20013,uvea,83,0,83-0,,1861[3-4]
6877,moriori,46,2,46-2,,1208[18]
6455,palau,24,2,24-2,,1125[28]
12218,ngaju,105,2,105-2,,167[188]
12219,ngaju,106,2,106-2,,167[188]
6441,palau,5,7.4,,,1131[24];2
9514,roti,44,1,44-1,,"1405[354, 363-363]"
10523,Pohnpei,73,3,73-3,,340
7498,minahasa,28,1,28-1,,1253[21];167[126]
7499,minahasa,29,2,29-2,,1253[21];167[126]
1184,nias,90,1,90-1,,239[196];253
15050,bughotu,55,1,55-1,,23;1614
6392,ifugao,7,2,7-2,,1851[732-733]
7533,minahasa,21,1,21-1,,14[Map 2.21];1257[90];1252[23]
1266,samoan,34,1,34-1,,271[238]
6146,paiwan,44,1,44-1,,1056[195]
9518,roti,50,1,50-1,,1405[363-363]
6220,mentawai,29,3,29-3,,243[163-167]
6221,mentawai,30,3,30-3,,243[163-167]
6386,mentawai,79,0,79-0,,100
20048,uvea,141,3,141-3,,1861[63]
1868,manggarai,42,1,42-1,,320[171]
6125,paiwan,24,2,24-2,,1060[13]
1270,samoan,38,2,38-2,,271[210-211];272[174]
15344,anuta,87,0,87-0,,1608
9586,mekeo,49,1,49-1,,
5535,marquesas,57,1,57-1,,23[409];24[152]
20038,uvea,10,3000,,,1861[15]
6465,palau,34,1,34-1,,"1276[175, 188]"
6507,palau,77,2,77-2,,"1146[4, 71]"
6508,palau,78,2,78-2,,1143
10206,futuna-west,51,1,51-1,,1454[49];1455[213]
17118,goodenough-island,143,0,143-0,,1617[182-201]
5772,eastern-toraja,34,1,34-1,,"994[10, 10-11]"
6434,palau,4,2012,,,123
6436,palau,19,0,19-0,,15[109]
6437,palau,20,0,20-0,,1125[66-75]
2970,marquesas,45,2,45-2,,945[249-251]
6161,paiwan,61,1,61-1,,"562[133];1003[117-118, 136]"
3710,marquesas,50,1,50-1,,945[257-258]
9579,mekeo,47,0,47-0,,
20039,uvea,11,3,11-3,,1861[76]
6433,palau,3,270,,,1128;123
10307,futuna-west,75,1,75-1,,1490[122]
6141,paiwan,39,2,39-2,,562[133];1003[136]
10622,mota,50,0,50-0,,
6846,moriori,73,3,73-3,,619;1167;1210[109]
10155,mangaia,81,3,81-3,,1452[2]
7821,isneg,62,1,62-1,,"1281[241, 252, 255, 257]"
16433,niue,140,4,140-4,,1665[251];1686[14];1618[79]
6532,maori,50,1,50-1,,1159[370]
854,mare,59,2,59-2,,"197[231, 327]"
6475,palau,42,1,42-1,,1276[181]
6409,ifugao,30,1,30-1,,1114[396-397]
12190,lakalai,105,2,105-2,,1560[141]
7618,minahasa,83,0,83-0,,1253[105-125]
796,tanna,2,1,2-1,,1219[313]
7025,lau,77,2,77-2,,1220[45-46]
7787,isneg,7,2,7-2,,1851[732-733]
2133,marquesas,61,1,61-1,,945[136]
8151,tinguian,61,1,61-1,,1312[371-372]
6479,palau,46,1,46-1,,1276[166-169]
6472,palau,40,2,40-2,,1276[169-175]
6474,palau,47,0,47-0,,1276[167-169]
8152,tinguian,62,1,62-1,,"1312[289, 296, 326, 400]"
6462,palau,31,2,31-2,,1134[49]
6876,moriori,45,1,45-1,,1208[184]
6509,palau,79,1,79-1,,1140
6510,palau,80,2,80-2,,1143
952,subanun,39,0,39-0,,210[93-104]
6163,paiwan,63,2,63-2,,562[130]
6517,palau,87,2,87-2,,1133[1];1140
8153,tinguian,63,2,63-2,,1312[315-358]
17119,hawaiians,143,0,143-0,,1525[96]
6861,moriori,34,1,34-1,,1210[211]
6499,palau,69,3,69-3,,1125[70-72];1143
10076,tetum,19,2,19-2,,15[109]
6482,palau,50,1,50-1,,1139[245]
6500,palau,70,0,70-0,,1130[142];1125[70-75]
9569,tanala,92,1,92-1,,
10185,mangaia,88,2014,,,149
9568,tanala,91,1,91-1,,
1572,chuuk,7,2,7-2,,337[17];331[97]
6834,moriori,28,3,28-3,,1209[80];1210[25]
17126,iban,143,1,143-1,,842[97];167[182]
10074,tetum,4,497,,,1435[14];123
20069,uvea,34,1,34-1,,1861[85]
2077,marquesas,3,450,,,643[1]
793,tanna,7,2,7-2,,188
794,tanna,8,561,,,1219[313];188
9844,erromango,54,0,54-0,,23;24;234[255-256]
9846,erromango,56,0,56-0,,23;24;234[255-256]
5141,marquesas,23,4,23-4,,405[188];945[181]
2139,marquesas,25,1,25-1,,405[189];392[93]
7794,isneg,19,2,19-2,,15[109]
1617,chuuk,29,3,29-3,,"337[19];338[138-191, 192-193]"
6808,moriori,8,900,,,1211
5591,kayan,20,1,20-1,,14[Map 2.21];970
17812,visayans,44,1,44-1,,1748[92-93]
6120,paiwan,20,0,20-0,,14[Map 2.21]
5552,marquesas,77,1,77-1,,405[189];961
10095,tetum,28,2,28-2,,1442[99];1435[53]
1592,chuuk,56,1,56-1,,337[72-73]
7377,toabaita,59,1,59-1,,"1248[62-63, 105-106]"
11906,ami,28,0,28-0,,562[118]
16466,pukapuka,141,3,141-3,,1555[272]
6813,moriori,11,2,11-2,,1210[31];1209[85]
5509,kelabit,9,4095,,,1816[112]
1008,subanun,75,1,75-1,,213[41];212[244]
1597,chuuk,34,1,34-1,,337[86]
1593,chuuk,57,1,57-1,,337[72-73]
1612,chuuk,24,2,24-2,,"338[117-226, 122, 123];337[20-21]"
1639,chuuk,73,3,73-3,,340[68]
1601,chuuk,38,3,38-3,,337[134-178]
3399,kalinga,61,1,61-1,,"1786[24];613[164, 198]"
3400,kalinga,62,1,62-1,,"1786[20-21, 27];613[160]"
1607,chuuk,44,0,44-0,,"337[91, 133-155]"
1594,chuuk,58,3,58-3,,"337[30-31, 72-73, 126]"
1615,chuuk,27,1,27-1,,337[20];338[132]
9571,tanala,88,2014,,,149
11901,ami,23,4,23-4,,562[118]
1626,chuuk,49,1,49-1,,337[298]
1590,chuuk,54,1,54-1,,337[72-73]
1630,chuuk,64,1,64-1,,338[360-361]
1631,chuuk,65,1,65-1,,338[361]
1632,chuuk,66,1,66-1,,338[343-344]
1634,chuuk,68,0,68-0,,338[336-362]
1656,chuuk,90,1,90-1,,342[64-65]
6809,moriori,9,287,,,1211
8148,tinguian,56,0,56-0,,234;23;24
383,Maohi,24,3,24-3,,"122[242-243, 245-248]"
64,manam,70,1,70-1,,979[65-72];48[167]
11904,ami,26,0,26-0,,562[118]
11902,ami,24,0,24-0,,562[118]
7380,toabaita,62,1,62-1,,1248[108]
5505,kelabit,5,3.7,,,949[Map 1];2
7068,kaoka,8,5302,,,1225
1647,chuuk,81,3,81-3,,328[44]
11908,ami,30,2,30-2,,562[118]
11907,ami,29,2,29-2,,562[118]
11909,ami,31,0,31-0,,562[118-119]
6810,moriori,42,1,42-1,,1208[185]
423,Maohi,54,1,54-1,,122[68-69]
7069,kaoka,9,2330,,,1225
459,Maohi,90,1,90-1,,1790
420,Maohi,51,1,51-1,,122[67]
404,Maohi,45,0,45-0,,122[526]
3967,toba-batak,59,2,59-2,,1889[67-136]
411,Maohi,63,4,63-4,,122[881-882]
6749,rapa-nui,83,0,83-0,,1203[44]
7116,kaoka,88,2014,,,149
1549,kiribati,62,1,62-1,,282[196]
389,Maohi,30,3,30-3,,122[281-303]
415,Maohi,67,2,67-2,,122[434]
6049,bukidnon,40,2,40-2,,1015[89-117]
9582,mekeo,44,0,44-0,,
9583,mekeo,45,0,45-0,,
9584,mekeo,46,0,46-0,,
174,marshall-islands,55,1,55-1,,24[144];23[419]
175,marshall-islands,56,0,56-0,,23[420];24[144]
367,Maohi,8,1040,,,"158[7, 12]"
10014,pukapuka,8,1.3,,,1440
387,Maohi,28,2,28-2,,122[282-283]
15046,bughotu,54,1,54-1,,23
10,manam,10,4000,,,46[381-382]
9594,mekeo,55,0,55-0,,23;24;234
9595,mekeo,56,0,56-0,,23;24;234
9593,mekeo,54,0,54-0,,23;24;234
453,Maohi,83,0,83-0,,1150[305]
454,Maohi,84,1,84-1,,1150[305]
2731,simbo,40,2,40-2,,533
12059,dusun,29,2,29-2,,1518[199]
10102,tetum,6,125.2,,,1435[14];2
10104,tetum,8,30459,,,1497
9599,roti,26,1,26-1,,1409[213]
538,marshall-islands,64,1,64-1,,956[15-18]
6715,rapa-nui,17,2,17-2,,"1204[53, 55]"
494,marshall-islands,6,171.7,,,1732;6;2
7797,isneg,94,1,94-1,,1279[1-2]
9600,roti,27,1,27-1,,1409[213]
1163,samoan,67,2,67-2,,252[81]
540,marshall-islands,66,1,66-1,,956[15]
485,marshall-islands,83,0,83-0,,12[198-210]
16829,merina,143,1,143-1,,1819[305-314]
497,marshall-islands,9,4.5,,,1788
1279,samoan,47,1,47-1,,252[3-15]
6200,mentawai,10,18000,,,"1072[7, 10]"
518,marshall-islands,30,3,30-3,,"963[1];1787[158, 171-177]"
477,marshall-islands,75,3,75-3,,21
474,marshall-islands,72,1,72-1,,21;266
773,samoan,6,-171.8,,,249[19];2
12214,moken,105,2,105-2,,1174[232]
6754,rapa-nui,11,3,11-3,,166[277];1203[20-21]
1145,samoan,72,1,72-1,,266;267
6109,paiwan,9,3952,,,376[300]
6916,lau,8,4200,,,1105[214]
469,marshall-islands,92,1,92-1,,1153[79]
6912,lau,2,2,2-2,,"1220[48-53, ""Sketch Map of Mala""]"
1153,samoan,80,2,80-2,,267;266
1268,samoan,36,1,36-1,,271[210-241];252[3-77]
5247,samoan,95,1,95-1,,271[210-241];252[3-77]
7610,minahasa,73,3,73-3,,1263[22];1252[57];1251[17-18]
6917,lau,9,1438,,,385
6107,paiwan,7,4,7-4,,561
1168,samoan,56,1,56-1,,270[71];249[146]
7968,ngaju,23,4,23-4,,1293
5776,eastern-toraja,38,2,38-2,,994[32]
5506,kelabit,7,4,7-4,,1816[112]
9343,tokelau,63,4,63-4,,1845[150-151]
9227,minahasa,79,1,79-1,,100[166]
2943,tsou,73,3,73-3,,566[254];570[66]
12060,dusun,30,1,30-1,,1539[75]
5041,tonga,61,0,61-0,,"850[69-95, 255-280]"
227,lifou,63,3,63-3,,
12053,dusun,23,4,23-4,,1527[81];1539[68]
7074,kaoka,27,1,27-1,,1224[3]
1250,samoan,27,2,27-2,,"246[119, 127, 523-544]"
1251,samoan,28,2,28-2,,"246[119, 127, 136, 418]"
1252,samoan,29,3,29-3,,"246[119, 127, 418]"
1253,samoan,30,3,30-3,,246[418-522]
5507,kelabit,8,740000,,,1816[111]
5465,tonga,63,4,63-4,,850[82]
10360,Pohnpei,44,0,44-0,,1276[79-80]
1150,samoan,77,2,77-2,,1155[287];266
6536,maori,64,1,64-1,,"1159[296-299, 350-373, 404-430]"
6537,maori,65,0,65-0,,1159[283-301]
12233,tinguian,105,2,105-2,,1312[360]
10103,tetum,7,3,7-3,,151[2]
9272,laboya,80,0,80-0,,1329[xx]
303,hawaiians,37,1,37-1,,"88[3-36, 30]"
5533,kelabit,73,3,73-3,,1172[122]
5534,kelabit,74,2,74-2,,989[70-71];949[5]
6894,lau,42,1,42-1,,1220[151]
12234,tinguian,106,2,106-2,,1312[360]
6923,lau,21,0,21-0,,14[Map 2.23]
6529,maori,63,3,63-3,,"1159[333-334, 475-476];1827"
6921,lau,19,2,19-2,,15[109]
2016,kwaio,10,7500,,,388[13]
10117,mangaia,59,3,59-3,,"1419[112, 114]"
4581,atayal,17,1,17-1,,755[105-106]
5602,kayan,30,3,30-3,,"167[169];968[131, 134-142]"
6048,bukidnon,39,0,39-0,,"1015[89-98, 126-132]"
3437,maori,24,4,24-4,,"1159[85-86, 92-93]"
6540,maori,68,0,68-0,,1159[283-301]
10748,mota,1,1863,,,1479[v]
6538,maori,66,1,66-1,,"1159[285, 350-373, 404-430]"
6910,lau,51,1,51-1,,1220[238]
2944,tsou,74,2,74-2,,566[254-255];565[886]
918,subanun,7,4,7-4,,1851[732-733]
6539,maori,67,0,67-0,,"1159[283-301, 353-354]"
7659,mangareva,38,2,38-2,,1269[424-425]
3586,chamorro,42,1,42-1,,627[24]
3294,bunun,42,1,42-1,,602[78-79]
